title  Photometry data for T356120921 from search centered on 19 50 50.248 .48 04 51.09 using the apass calibration catalog
Median of Right Ascension  297.70578, rms   0.00271
Median of Declination       48.07639, rms   0.00197
Median of magcal_magdep        10.65, rms      0.26
Median of magcal_local_rms      0.16, rms      0.33
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
----	----	-------------	----------------	------------------	--	---	-----------	-----------	-----	---------	------	------	-------	------------	----------	----------	-----------
2410607.454192	1887.917683	10.50	 0.20	12.97	297.70298	 48.07340	-83.6	0.407	b01971	153	268992512	1080713218	640	0.000700	15,19,28	1,13,14,17,19,21,22,30	7,9
2411465.833443	1890.266667	11.20	 0.28	14.37	297.70353	 48.07376	 76.2	0.251	i00983	152	557056	1349413888	576	0.000700	15,19	10,11,13,14,17,18,19,21,22,28,30	6,9
2411469.864556	1890.277711	10.72	 0.21	13.98	297.70362	 48.07381	 70.4	0.362	i00998	151	557056	1080976384	704	0.000700	15,19	10,13,14,17,18,19,21,22,30	6,7,9
2411478.865583	1890.302371	11.09	 0.31	14.56	297.70369	 48.07372	 80.1	0.163	i01050	152	557056	1080978432	576	0.000700	15,19	10,11,13,14,17,18,19,21,22,30	6,9
2411521.710330	1890.419754	10.52	 0.25	12.12	297.70483	 48.07393	 42.2	0.323	i01263	151	268992512	1080714242	704	0.000700	15,19,28	1,10,13,14,17,19,21,22,30	6,7,9
2411544.577972	1890.482405	11.05	 0.18	13.39	297.70349	 48.07388	-73.7	0.215	i01330	152	557056	1080976384	704	0.000700	15,19	10,13,14,17,18,19,21,22,30	6,7,9
2411546.602347	1890.487952	10.78	 0.21	14.09	297.70272	 48.07356	-83.5	0.515	i01343	131	558208	1349411842	705	0.000700	7,10,15,19	1,10,13,14,17,18,19,21,22,28,30	0,6,7,9
2411546.602347	1890.487952	10.54	 0.24	12.35	297.70444	 48.07415	-73.5	0.273	i01343_s1	131	557184	1080975360	641	0.000000	7,15,19	13,14,17,18,19,21,22,30	0,7,9
2411569.763026	1890.551406	10.55	 0.21	12.91	297.70393	 48.07342	-32.8	0.543	i01495	151	268992512	1080716288	576	0.000700	15,19,28	10,11,13,14,17,19,21,22,30	6,9
2411610.664276	1890.663464	10.90	 0.15	14.42	297.70358	 48.07375	-61.0	0.094	i01756	152	557056	1080978432	576	0.000700	15,19	10,11,13,14,17,18,19,21,22,30	6,9
2411612.682682	1890.668994	10.67	 0.27	14.06	297.70328	 48.07350	 41.6	0.156	i01761	151	557056	1080978432	576	0.000700	15,19	10,11,13,14,17,18,19,21,22,30	6,9
2411613.618995	1890.671559	10.69	 0.17	13.06	297.70342	 48.07375	-23.4	0.520	i01777	151	557056	1080978432	576	0.000700	15,19	10,11,13,14,17,18,19,21,22,30	6,9
2411652.635499	1890.778453	10.41	 0.17	13.59	297.70380	 48.07350	-85.7	0.397	i01968	152	557056	1080976384	704	0.000700	15,19	10,13,14,17,18,19,21,22,30	6,7,9
2411691.534104	1890.885025	10.90	 0.21	13.56	297.70387	 48.07380	-45.5	0.253	i02287	132	557568	1617847298	704	1.000000	9,15,19	1,10,13,14,17,18,19,21,22,29,30	6,7,9
2411935.850652	1891.554385	10.52	 0.18	11.74	297.70337	 48.07387	-87.9	0.333	i03890	152	557184	1074683904	656	0.000700	7,15,19	13,14,17,18,19,30	4,7,9
2411964.667021	1891.633334	10.50	 0.22	13.63	297.70345	 48.07367	  7.8	0.348	i04047	154	557184	1080975360	656	0.000700	7,15,19	13,14,17,18,19,21,22,30	4,7,9
2412001.566768	1891.734430	10.44	 0.18	13.14	297.70372	 48.07395	-86.0	0.051	i04334	152	557056	1080976384	704	0.000700	15,19	10,13,14,17,18,19,21,22,30	6,7,9
2412011.655862	1891.762071	10.45	 0.15	12.13	297.70348	 48.07392	 36.8	0.301	i04449	152	557184	1208901632	648	0.000700	7,15,19	13,14,17,18,19,27,30	3,7,9
2412041.450285	1891.843699	10.52	 0.12	13.37	297.70411	 48.07370	-70.5	0.097	i04708	152	557056	1080978432	576	0.000700	15,19	10,11,13,14,17,18,19,21,22,30	6,9
